#Bootstrap calculation took   1.1 minutes with   200 samples
#Barrier height:           25.0540269295
#PMF:
#       Npoints              x            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
          69214        4.05005       15.72395       15.68398       15.76392        0.03997
          68895        4.09005       15.06121       15.01981       15.10260        0.04140
          71095        4.13005       14.36493       14.32519       14.40468        0.03974
          71521        4.17005       13.65033       13.61205       13.68860        0.03828
          74428        4.21005       12.90689       12.86634       12.94743        0.04054
          72597        4.25005       12.15010       12.11232       12.18789        0.03779
          75220        4.29005       11.39782       11.36157       11.43407        0.03625
          81212        4.33005       10.69949       10.66093       10.73804        0.03856
          82225        4.37005       10.05661       10.02014       10.09307        0.03646
          83764        4.41005        9.50207        9.46518        9.53896        0.03689
          81985        4.45005        9.05028        9.01362        9.08694        0.03666
          78785        4.49005        8.66771        8.63126        8.70417        0.03645
          79559        4.53005        8.30435        8.26764        8.34107        0.03672
          81101        4.57005        7.93638        7.90240        7.97036        0.03398
          80568        4.61005        7.60249        7.56828        7.63671        0.03421
          79113        4.65005        7.30697        7.27364        7.34031        0.03334
          80378        4.69005        7.02536        6.99227        7.05846        0.03310
          80009        4.73005        6.75931        6.72434        6.79428        0.03497
          77080        4.77005        6.49644        6.46311        6.52977        0.03333
          77204        4.81005        6.23390        6.19839        6.26940        0.03550
          76932        4.85005        5.99829        5.96175        6.03482        0.03653
          79563        4.89005        5.76178        5.72748        5.79608        0.03430
          83202        4.93005        5.53283        5.49721        5.56846        0.03562
          79210        4.97005        5.33945        5.30403        5.37487        0.03542
          75193        5.01005        5.16508        5.12725        5.20290        0.03783
          77147        5.05005        4.98385        4.94548        5.02223        0.03838
          79321        5.09005        4.82204        4.78721        4.85687        0.03483
          82178        5.13005        4.66457        4.62746        4.70168        0.03711
          80177        5.17005        4.52475        4.48927        4.56023        0.03548
          76263        5.21005        4.40654        4.36945        4.44364        0.03710
          78041        5.25005        4.27084        4.23206        4.30963        0.03878
          79942        5.29005        4.15170        4.11667        4.18673        0.03503
          80598        5.33005        4.05674        4.02159        4.09189        0.03515
          80505        5.37005        3.95054        3.91536        3.98572        0.03518
          79352        5.41005        3.83922        3.80451        3.87394        0.03471
          78297        5.45005        3.75400        3.71928        3.78871        0.03472
          77912        5.49005        3.69224        3.65815        3.72633        0.03409
          77957        5.53005        3.63753        3.60220        3.67287        0.03534
          77944        5.57005        3.58071        3.54519        3.61623        0.03552
          78571        5.61005        3.52487        3.48949        3.56026        0.03538
          79193        5.65005        3.47145        3.43469        3.50821        0.03676
          77179        5.69005        3.42927        3.39287        3.46567        0.03640
          75326        5.73005        3.39524        3.35881        3.43168        0.03644
          74782        5.77005        3.35605        3.31861        3.39349        0.03744
          78577        5.81005        3.29507        3.25818        3.33197        0.03689
          82169        5.85005        3.25340        3.21502        3.29177        0.03838
          83181        5.89005        3.20073        3.16214        3.23932        0.03859
          80195        5.93005        3.17243        3.13361        3.21125        0.03882
          82014        5.97005        3.15893        3.12149        3.19636        0.03744
          82319        6.01005        3.18704        3.15012        3.22395        0.03691
          72730        6.05005        3.24692        3.20831        3.28554        0.03862
          52268        6.09005        3.27750        3.23880        3.31620        0.03870
          25942        6.13005        3.29161        3.25331        3.32992        0.03831
           8550        6.17005        3.27282        3.22999        3.31565        0.04283
           1832        6.21005        3.21778        3.15658        3.27897        0.06120
            218        6.25005        3.22473        3.10035        3.34910        0.12438
             42        6.29005        2.62127        2.46086        2.78167        0.16041
